"country","biofuel_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_electricity","coal_electricity","gas_electricity","oil_electricity","total_electricity","population"
"Libya",0,0,0,0.075,0,0,0,495.833,32.024,527.932,2614257.85
"Lithuania",4.623,14.303,301.927,0.589,10.288,4.623,0,41.493,8.076,385.922,3287585.36585366
"Luxembourg",2.032,3.385,0,1.036,2.03,2.287,0,36.187,1.083,48.04,413303.571428571
"Macau",0,0,0,0,0,0,0,0,23.133,23.133,0
"Madagascar",0.196,14.577,0,0.136,0,0.196,8.029,1.979,4.865,29.978,8353635.75833333
"Malawi",0.931,30.03,0,0.224,0,0.931,0,3.491,0,35.607,11605425
"Malaysia",11.178,300.937,0,2.753,0,11.178,794.35,1438.081,210.455,2768.932,11649772.3666667
"Maldives",0,0,0,0,0.026,0,0,0,6.732,6.758,299650
"Mali",0.522,16.699,0,0.256,0,0.522,0,0,15.5,33.499,11781025
"Malta",0.078,0,0,1.075,0,0.078,0,6.522,34.748,42.501,378951.219512195
"Martinique",0.563,0,0,0,0.034,0.563,0,0,27.764,28.924,371375
"Mauritania",0,2.124,0,0.484,0.547,0,0,5.094,5.636,13.885,2759475
"Mauritius",9.367,1.958,0,0.233,0.084,9.367,9.681,0,27.701,58.391,1150925
"Mexico",39.661,1005.169,272.336,21.156,95.07,245.724,737.139,2955.684,2176.636,7548.575,50807438.768595
"Middle Africa",0,501.121,0,0.383,0.036,1.453,0,0,0,502.993,0
"Middle East",0,616.786,40.326,30.243,6.438,2.292,881.546,12071.274,7787.653,21436.558,0
"Moldova",0.128,6.615,0,0.013,0.08,0.128,89.708,11.746,0,108.418,4170250
"Mongolia",0,0.795,0,0.198,1.898,0,88.327,0,0,91.218,1386776.07438017
"Montenegro",0,24.872,0,0,0.45,0,17.193,0,0,42.515,621650
"Montserrat",0,0,0,0,0,0,0,0,0.385,0.385,7600
"Morocco",0.074,46.773,0,3.352,24.671,0.074,250.381,79.635,64.894,469.854,15605208.1666667
"Mozambique",0.973,282.902,0,0.011,0,0.973,0,0,15.556,300.415,10335919.7333333
"Myanmar",0,0,0,0,0,0,0,0,0,0,27103330.275
"Namibia",0,28.414,0,0.254,0.023,0,0.543,0,0.269,29.503,1945100
"Nauru",0,0,0,0,0,0,0,0,0.544,0.544,9800
"Nepal",0,63.687,0,0.368,0.052,0,0,0,0.201,64.308,13123085.2916667
"Netherlands",103.64,3.012,137.821,23.637,115.591,118.219,883.938,1907.843,180.051,3473.752,11269042.9421488
"Netherlands Antilles",0,0,0,0.152,2.494,0,0,0,18.97,21.616,0
"New Caledonia",0,6.956,0,0,0.692,0,0,0,35.763,43.411,212325
"New Zealand",11.813,856.552,0,0.571,28.783,158.535,146.28,69.333,10.047,1281.914,3560214.28571429
"Nicaragua",7.079,7.4,0,0.094,5.982,15.825,0,5.62,35.15,77.15,4966400
"Niger",0,0,0,0.071,0,0,1.492,0,4.873,6.436,6038743.925
"Nigeria",0.367,135.179,0,0.232,0.029,0.367,0,401.667,0,537.841,63478398.5123967
"Niue",0,0,0,0,0,0,0,0,0.06,0.06,2200
