"country","green_energy","population","continent"
"Seychelles",0.026,80243.2432432432,"Africa"
"Sierra Leone",1.177,4979135.13513513,"Africa"
"Singapore",21.544,3367115.38461538,"Asia"
"Slovakia",132.773,5363250,"Europe"
"Slovenia",106.099,2014444.44444444,"Europe"
"South Africa",64.926,32457208.9552239,"Africa"
"South Korea",165.991,30225212.8659794,"Asia"
"Spain",1644.617,31172251.3846154,"Europe"
"Sri Lanka",120.148,16834807.6923077,"Asia"
"Sudan",69.343,26225567.5675676,"Africa"
"Sweden",2438.832,7341630.66666667,"Europe"
"Switzerland",1161.229,6859557.69230769,"Europe"
"Syria",48.38,13356183.6734694,"Asia"
"Taiwan",227.67,12442697.3271028,"Asia"
"Tajikistan",272.897,6820880,"Asia"
"Tanzania",38.821,23634820.8955224,"Africa"
"Thailand",260.767,46285585.6857143,"Asia"
"Togo",1.641,4824243.24324324,"Africa"
"Trinidad and Tobago",0.638,1175346.15384615,"Americas"
"Tunisia",4.209,7089469.79411765,"Africa"
"Turkey",1251.501,38695577.8,"Asia"
"Turkmenistan",0.112,4281108.10810811,"Asia"
"Uganda",34.479,23516702.7027027,"Africa"
"Ukraine",353.909,48746394.7368421,"Europe"
"United Arab Emirates",1.129,5429416.66666667,"Asia"
"United Kingdom",632.15,51718461.2649573,"Europe"
"United States of America",12429.275,186541665.094017,"Americas"
"Uruguay",140.828,3220324.32432432,"Americas"
"Uzbekistan",202.432,23691216.2162162,"Asia"
"Venezuela",1900.205,11326268.5641026,"Americas"
"Vietnam",664.584,58311705.1764706,"Asia"
"Yemen",0.277,14511808.5106383,"Asia"
"Zambia",172.858,7329238.80597015,"Africa"
"Zimbabwe",82.843,8247537.31343284,"Africa"
